name,hall_a_rr,hall_b_rr,hall_c_rr,type
RBM 3,179.2,132,88.91,location
RBM 2,199.03,196,203.2,location
RBM 1,247.53,286,315.74,location
RBM 4,398.027,388.8,362.134,location
RBM 5,836.75,846.96,829.94,location
RBM 6,672.58,688.47,701.79,location
b,1.107,0.99227,1.181,data
tr,286.5,286.5,382,data
td,36.5,18.3,33.51,data
ri,56.4,31.8,48.62,data
0,87.15649859,135.9066607,175.9176237,location
1,256.7333627,234.024687,232.6785338,location
2,208.8065396,255.8887968,292.4294307,location
3,252.2829526,265.8226996,272.8908274,location
4,137.4515881,152.1370325,164.8977593,location
5,136.9984942,177.2112037,217.3034391,location
6,44.07944661,26.22980227,61.72420155,location
7,229.3342048,186.6713219,162.1204819,location
8,254.9305337,236.7966071,239.784772,location
9,162.8349264,114.7976843,80.58181845,location
10,239.5514598,285.4157443,326.4701784,location
11,105.264492,63.82250132,54.32774083,location
12,156.7215217,153.8412947,152.1817756,location
13,130.3022313,177.5945841,218.6129527,location
14,142.1112766,115.2602889,94.62071174,location
15,296.5991319,324.8253067,343.1505874,location
16,210.1468805,187.1145512,187.2495632,location
17,123.0649137,165.5995646,198.641051,location
18,217.6836627,169.0283349,129.0270766,location
19,158.3857689,202.2609454,243.0940691,location
20,171.2175902,218.3053718,259.361439,location
21,207.1589799,182.4655287,181.1199134,location
22,238.6422275,252.0392999,259.350564,location
23,63.67301683,86.40826595,123.4729281,location
24,234.1731468,282.8846733,322.9849878,location
rad48_p1,33.91246784,66.26102451,106.5989251,location
rad43_p1,117.6931463,124.9061682,134.2720496,location
rad46_p1,150.1850724,125.504555,128.2394541,location
rad47_p1,102.3597591,54.0280469,13.6419183,location
rad41_p1,198.2259958,173.9468029,151.6273489,location
rad34_p1,72.30364911,51.8941468,55.69159073,location
